organization,category,contact_type,contact_value,source_url,note,verification_status
루닛,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
업스테이지,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
리벨리온,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
퓨리오사AI,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
원티드랩,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
사람인,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
잡코리아,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
쿠팡,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
배달의민족,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
우아한형제들,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
토스,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
비바리퍼블리카,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
뱅크샐러드,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
야놀자,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
여기어때컴퍼니,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
마켓컬리,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
컬리,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
당근마켓,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
직방,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
오늘의집,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
무신사,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
에이블리,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
11번가,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
지마켓,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
티몬,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
위메프,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
쏘카,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
현대카드,금융,web,,,site_not_found,failed
신한카드,금융,web,,,site_not_found,failed
KB국민카드,금융,web,,,site_not_found,failed
우리카드,금융,web,,,site_not_found,failed
하나카드,금융,web,,,site_not_found,failed
신한은행,금융,web,,,site_not_found,failed
KB국민은행,금융,web,,,site_not_found,failed
우리은행,금융,web,,,site_not_found,failed
하나은행,금융,web,,,site_not_found,failed
IBK기업은행,금융,web,,,site_not_found,failed
한국전력공사,공공/인프라,web,,,site_not_found,failed
한국수력원자력,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
한국가스공사,공공/인프라,web,,,site_not_found,failed
한국도로공사,공공/인프라,web,,,site_not_found,failed
인천국제공항공사,공공/인프라,web,,,site_not_found,failed
한국공항공사,공공/인프라,web,,,site_not_found,failed
한국철도공사,공공/인프라,web,,,site_not_found,failed
서울교통공사,공공/인프라,web,,,site_not_found,failed
한국조폐공사,공공/인프라,web,,,site_not_found,failed
한국무역정보통신,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
NICE평가정보,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
KIS정보통신,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
다우기술,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
다날,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
KG이니시스,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
NH투자증권,금융,web,,,site_not_found,failed
미래에셋증권,금융,web,,,site_not_found,failed
키움증권,금융,web,,,site_not_found,failed
메리츠증권,금융,web,,,site_not_found,failed
한화투자증권,제조/전자/산업,web,,,site_not_found,failed
교보증권,금융,web,,,site_not_found,failed
대신증권,금융,web,,,site_not_found,failed
유진투자증권,금융,web,,,site_not_found,failed
DB금융투자,금융,web,,,site_not_found,failed
신영증권,금융,web,,,site_not_found,failed
